country,ccode,ccodealp,ccodecow,ccodewb,Region,Users,Population,Pop_source,Pop_year,Pop_05m,Pop_05msource,Pop_05myear,Pop_623m,Pop_623msource,Pop_623myear,Pop_2459m,Pop_2459msource,Pop_2459myear,Districts,Health_facilities,Primary_care_fac,Health_workers,Community_health_workers,Nutrition_priority,Planning_HMISrevision,Date_planned,NCM,NCM_Leader,NCM_integrated,Bottleneck,Tracer_interventions,Policy_standalone,Policy_integrated,Policy_complementary,Policy_complementary_MNP,Policy_complementary_LNS,Policy_complementary_mediumLNS,Policy_complementary_largeLNS,Policy_complementary_plumpysup,Policy_complementary_fortified,Policy_complementary_unfortified,Policy_complementary_other,Budget,Code,Code_monitoring,Code_monitoring_Government,Code_monitoring_Comittee,Code_monitoring_NGO,Code_monitoring_Other,Code_monitoring_frequency,Code_monitoring_UNICEF,Code_monitoring_violations,Code_monitoring_prosecution,Code_monitoring_media,Code_monitoring_no,Code_monitoring_DK,Policy_humanitarian,WHO_guidelines,Counselling_doctors,Counselling_nurses,Counselling_PHC,Counselling_PHC_individual,Counselling_PHC_group,HW_training,Counselling_community,Counselling_community_districts,Counselling_community_training,Counselling_community_CHW,Counselling_community_UNICEF,Counselling_community_package,Counselling_community_supervis,Counselling_community_frequency,Counselling_community_,Counselling_community_Agricult,Counselling_community_Wash,Counselling_community_Education,Counselling_community_Welfare,Counselling_community_SP,Counselling_community_other,Counselling_mothers,Formative_research,Media,Media_weeks,Communication_strategy,Communication_strategy_alone,Communication_strategy_implement,Humanitarian,Humanitarian_healthservices,Humanitarian_community,Humanitarian_mothergroups,Humanitarian_formula,Humanitarian_communication,Humanitarian_rapidassessment,Humanitarian_jointstatement,Humanitarian_dealformula,Humanitarian_monitoringformula,Humanitarian_other,Humanitarian_DK,Humanitarian_babyfriendly,Policy_gender,Policy_agriculture,Policy_education,Policy_wash,Policy_SP,Policy_none,Policy_DK,SP_under2,SP_under2_UNICEF,indicators_HS,indicators_HS_BF,indicators_HS_earlyinitiation,indicators_HS_counsellingunder6,indicators_HS_counselling623,indicators_C,indicators_C_BF,indicators_C_earlyinitiation,indicators_C_counsellingunder6,indicators_C_counselling623,indicators_HIV,indicators_HIV_infants,indicators_HIV_infants_BF,indicators_HIV_infants_feeding,indicators_HIV_infants_mixed,share_externally,Signoff
Bangladesh,50,BGD,771,50,ROSA,msari@unicef.org,160996000,"UN Populations Division, World Population Prospects",2015,1577760,"Estimated from UN populations Division, World Population Prospects",2015,4717182,"Estimated fro UN populations division, World Population Prospects",2015,9257270,"Estimated from UN populations division, World Population Prospects",2015,64,21716,18322,141261,66623,Yes,No,2017,Yes,UNICEF,Yes,Yes,SAM; Vitamin A; Micronutrients Powders; Salt Iodization; IYCF,Yes,,No,,,,,,,,,Yes,Yes-partially – not all provisions of Code and Resolutions included,Yes,TRUE,FALSE,TRUE,FALSE,Monitoring is a continuous activity,No,Don't know,,,,,Yes,Yes,Minimally,Minimally,Yes,18322,18322,,Yes,64,Yes,3600,"Entire UNICEF package adapted, 5-day training, without supervision module",,No,,Don't know,,,,,,,1135620,No,Yes,5-24 weeks,Yes,Yes,Yes,No,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Other,,Yes,"Yes, monitored, recorded and reported","Yes, monitored, recorded and reported","Yes, monitored, recorded and reported","Yes, monitored, recorded and reported",Yes,"Yes, monitored, recorded and reported","Yes, monitored, recorded and reported","Yes, monitored, recorded and reported",Both monitored and reported,No,,,,,Yes,No
Barbados,52,BRB,53,52,LACRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,112,BLR,370,112,CEECIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,84,BLZ,80,84,LACRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,204,BEN,434,204,WCARO,ananema@unicef.org,10008749,2013 Nationwide Census (RGPH 4),2013,200175,Estimation as 2% of general population based on census of 2013,2013,520454,Estimation as rouhgthly 29% of under-five population based on census of 2013,2013,1231076,Estimation as rouhgthly 68% of under-five population based on census of 2013,2013,34,1019,954,7743,12000,Yes,Yes,2016,Yes,Government,Yes,Yes,SAM; Vitamin A; IYCF,Yes,,No,,,,,,,,,No,Yes-all provisions of Code and Resolutions included,Yes,TRUE,FALSE,FALSE,FALSE,One monitoring activity,No,Don't know,,,,,Yes,Yes,Minimally,Minimally,Yes,,,,Yes,13,Yes,,Some elements incorporated into other packages,,Yes,Unsure of frequency,Yes,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,Yes,No,,Yes,No,Yes,Yes,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,,No,,,,,Yes,No,"Yes, monitored and recorded, but not reported",No,Not monitored or reported,No,,,,,Yes,Yes
Bhutan,64,BTN,760,64,ROSA,vjoshi@unicef.org,82716,Annual health Bulletin 2016,2015,8271,Population projection of Bhutan 2005-2030,2015,24815,Population projection of Bhutan 2005-2030,2015,49630,Population projection of Bhutan 2005-2030,2015,20,264,235,1904,1200,Yes,Yes,Don't know,Yes,Government,Yes,Yes,SAM; Micronutrients Powders; IYCF,Yes,,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Yes,No-no laws or actions,,,,,,,,,,,,,No,No,"Yes, comprehensively","Yes, comprehensively",Yes,235,235,30,Yes,20,Yes,30,Some elements incorporated into other packages,,Yes,Unsure of frequency,No,,,,,,,12177,No,Yes,5-24 weeks,No,,,No,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,No,,Yes,"Yes, monitored, recorded and reported","Yes, monitored, recorded and reported","Yes, monitored, recorded and reported",No,Yes,"Yes, monitored, recorded and reported","Yes, monitored, recorded and reported","Yes, monitored, recorded and reported",Not monitored or reported,"Yes, monitored and recorded, but not reported",,,,,Yes,Yes
Bolivia,68,BOL,145,68,LACRO,aromero@unicef.org; rchavez@unicef.org,10825013,INE (National Institute of Statistics) ,2015,1215643,INE (National Institute of Statistics),2015,608188,Estimated based on data INE (National Institute of Statistics) ,2015,728239,INE (National Institute of Statistics),2015,339,3900,3315,.,.,Yes,Yes,2016,Yes,Government,Yes,No,,Yes,,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Yes,Yes-all provisions of Code and Resolutions included,Yes,TRUE,TRUE,FALSE,FALSE,More than one monitoring activity,Yes,Yes,FALSE,FALSE,FALSE,FALSE,Yes,No,Minimally,Minimally,Yes,,,,Yes,,Don't know,,,,No,,No,,,,,,,,Yes,Yes,5-24 weeks,Yes,Yes,Yes,No,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes - Cash transfers,No,Yes,No,No,No,No,No,,,,,No,,,,,No,Yes
Bosnia and Herzegovina,70,BIH,346,70,CEECIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,72,BWA,571,72,ESARO,kkmotlhoiwa@unicef.org,2024904,Botswana Population Census ,2011,254163,2011 census population projections,2015,76249,calculated from census projections,2015,152498,calculated from census projections,2015,28,697,679,29251,300,No,Yes,2017,No,,,No,,No,IYCF elements are integrated within the nutrition policy or strategy,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Yes,Yes-all provisions of Code and Resolutions included,Yes,TRUE,FALSE,FALSE,FALSE,Monitoring is a continuous activity,No,Yes,FALSE,FALSE,FALSE,FALSE,Yes,Yes,No,Minimally,Yes,,,,No,,Yes,,Some elements incorporated into other packages,,Yes,Unsure of frequency,No,,,,,,,,Yes,Yes,5-24 weeks,No,,,Don't know,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes - Food vouchers/food stamps,No,No,,,,,No,,,,,No,,,,,No,No
Brazil,76,BRA,140,76,LACRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin islands,,,,,LACRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,100,BGR,355,100,CEECIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,854,BFA,439,854,WCARO,dgarnier@unicef.org,18450494,Ministère de la santé projection démographique 2011-2020,2015,369010,Ministère de la santé projection démographique 2011-2020,2015,1250943,Ministère de la santé projection démographique 2011-2020,2015,1959442,Ministère de la santé projection démographique 2011-2020,2015,70,1883,1559,13240,18000,Yes,Yes,2016,Yes,Government,Yes,Yes,SAM; Vitamin A,Yes,,Yes,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,No-but law/agreement is drafted/in progress,,,,,,,,,,,,,Yes,Yes,Minimally,"Yes, comprehensively",Yes,1658,,2682,Yes,49,Yes,6045,Some elements incorporated into other packages,,Yes,Each month,No,,,,,,,504927,Yes,Yes,1-4 weeks,No,,,Yes,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes - Cash transfers,Yes,No,,,,,Yes,"Yes, monitored, recorded and reported","Yes, monitored, recorded and reported","Yes, monitored, recorded and reported",Both monitored and reported,No,,,,,Yes,Yes
Burundi,108,BDI,516,108,ESARO,jntambi@unicef.org,10500000,Census 2008 + estimated population growth,2008,1839800,Census 2008 + estimated population growth,2008,542545,Census 2008 + estimated population growth,2008,1070019,Census 2008 + estimated population growth,2008,46,746,,.,17175,Yes,No,,Yes,Government,Yes,Yes,SAM; Vitamin A; Micronutrients Powders; IYCF,Yes,,No,,,,,,,,,No,No-but law/agreement is drafted/in progress,,,,,,,,,,,,,Yes,Yes,No,Minimally,Yes,,,,Yes,13,Yes,,Some elements incorporated into other packages,,Yes,Unsure of frequency,Yes,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,No,Don't know,,No,,,No,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Yes - Cash transfers,Yes,No,,,,,Don't know,No,,,,No,,,,,Yes,Yes
Cambodia,116,KHM,811,116,EAPRO,alaillou@unicef.org,14892374,HMIS ,2015,172007,estimated from HMIS,2015,452877,estimated from HMIS,2015,937326,estimated from HMIS,2015,89,1327,1100,.,.,Yes,No,,Yes,Other,Yes,Yes,SAM; Salt Iodization; IYCF,No,IYCF elements are integrated within the nutrition policy or strategy,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,Yes-partially – not all provisions of Code and Resolutions included,Yes,TRUE,FALSE,FALSE,FALSE,No monitoring was done last year,No,Yes,FALSE,FALSE,TRUE,FALSE,No,Yes,No,Minimally,Yes,,,,Yes,20,Yes,,"Entire UNICEF package adapted, 5-day training, plus supervision module",,No,,No,,,,,,,,Yes,Yes,25-52 weeks,No,,,No,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes - Cash transfers,Yes,No,,,,,No,,,,,No,,,,,Yes,Yes
Cameroon,120,CMR,471,120,WCARO,rsodjinou@unicef.org,23755421,rd Census. Population projections. Bureau Central des rencensements et des etudes en populations (BUCREP) review UNFPA,2016,3800867,3rd Census. Population projections. Bureau Central des rencensements et des etudes en populations (BUCREP),2016,,Unavailable,Unavailable,.,Unavailable,Unavailable,360,3586,2712,.,.,Yes,No,,Yes,Government,No,Yes,SAM; Vitamin A; Micronutrients Powders; IYCF,No,IYCF elements are integrated within the nutrition policy or strategy,No,,,,,,,,,No,Yes-all provisions of Code and Resolutions included,Yes,TRUE,FALSE,FALSE,FALSE,Monitoring is a continuous activity,Yes,Don't know,,,,,Yes,Yes,Minimally,Minimally,Yes,110,110,,No,,No,,,,Yes,Once per year,No,,,,,,,30000,No,Yes,1-4 weeks,No,,,No,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Yes - Cash transfers,No,No,,,,,No,,,,,No,,,,,Yes,Yes
Cape Verde,132,CPV,402,132,WCARO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic (CAR),140,CAF,482,140,WCARO,bmuhimfura@unicef.org,4955030,Ministry of Health,2015,86713,Ministry of Health,2015,248742,Ministry of  Health,2015,497980,Ministry of Health,2015,30,814,814,1551,2459,Yes,Yes,2017,Yes,UNICEF,Yes,Yes,SAM; Vitamin A,Yes,,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No-but law/agreement is drafted/in progress,,,,,,,,,,,,,Yes,Yes,Don't know,Don't know,Yes,102,102,108,Yes,14,Yes,187,"UNICEF package used, but only 2-3 day training; plus supervision module",,No,,No,,,,,,,2793,Yes,No,,No,,,Yes,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Yes - Food vouchers/food stamps,No,No,,,,,No,,,,,No,,,,,No,No
Chad,148,TCD,483,148,WCARO,mandiaye@unicef.org,14154314,"INSEED, Projection based on 2009 census",2016,254778,"INSEED, Projection based on 2009 census",2016,849259,"INSEED, Projection based on 2009 census",2016,1811752,"INSEED, Projection based on 2009 census",2016,128,1615,1588,2613,.,Yes,No,,Yes,Other,No,Yes,SAM; Vitamin A; IYCF,No,No policy/strategy at all,No,,,,,,,,,No,No-no laws or actions,,,,,,,,,,,,,No,No,No,No,No,,,,No,,No,,,,No,,No,,,,,,,,No,No,,Yes,Yes,Yes,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,,No,,,,,No,,,,,No,,,,,Yes,Yes
Chile,152,CHL,155,152,LACRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,156,CHN,710,156,EAPRO,schang@unicef.org,1368000000,State Statistic Bureau (SSB),2014,7430000,SSB,2014,21510000,SSB,2014,48910000,SSB,2014,2580,983528,920770,10694000,1032000,Yes,No,,Yes,Government,No,Yes,Vitamin A; Micronutrients Powders; Salt Iodization; IYCF,Yes,,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,Yes-partially – not all provisions of Code and Resolutions included,No,,,,,,,,,,,,Yes,Yes,Minimally,Minimally,No,,,,No,,Yes,,Some elements incorporated into other packages,,No,,Don't know,,,,,,,,Yes,Yes,1-4 weeks,No,,,No,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Other,,No,,,,,No,,,,,No,,,,,No,No
Colombia,170,COL,100,170,LACRO,mprodriguez@unicef.org,48202617,Departamento Nal de Estadistica DANE,2015,436722,Departamento Nal de Estadistica DANE- Estimaciones,2015,1304910,Departamento Nal de Estadistica DANE- Estimaciones,2015,2580005,Departamento Nal de Estadistica DANE- Estimaciones,2015,33,28590,,426249,204626,Yes,Yes,2016,No,,,Yes,SAM; Micronutrients Powders,Yes,,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes,No-but law/agreement is drafted/in progress,,,,,,,,,,,,,Yes,Yes,No,No,No,,,,Yes,,Yes,3000,"UNICEF package used, but only 2-3 day training; plus supervision module",,No,,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3100,No,Yes,1-4 weeks,Yes,No,Yes,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Yes - Subsidies,No,No,,,,,No,,,,,No,,,,,Yes,Yes
Comoros,174,COM,581,174,ESARO,abenaboubacar@unicef.org,784745,RGHP projection 2003,2015,12745,RGHP projection 2003,2015,36883,RGHP projection 2003,2015,71412,RGHP projection 2003,2015,17,77,65,1758,420,Yes,Yes,2016,Yes,Government,Yes,No,,No,IYCF elements are integrated within health & nutrition policy or strategy,No,,,,,,,,,No,Yes-all provisions of Code and Resolutions included,No,,,,,,,,,,,,Yes,No,No,"Yes, comprehensively",Yes,50,,0,Yes,12,No,,,,No,,No,,,,,,,,No,Yes,5-24 weeks,No,,,No,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Yes - Cash transfers,Yes,No,,,,,No,,,,,"Yes, monitored, recorded and reported",0,0,0,0,Yes,No
Congo,178,COG,484,178,WCARO,rnninamou@unicef.org,4966549,EPI,2017,993310,MoH-EPI,2016,198662,MoH-EPI,2016,695317,MoH-EPI,2016,39,384,357,14966,840,Yes,No,,Yes,Government,No,Yes,SAM; Vitamin A; Micronutrients Powders; IYCF,Yes,,Yes,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,No-but law/agreement is drafted/in progress,,,,,,,,,,,,,Yes,Yes,No,Minimally,Yes,33,33,25,Yes,15,Yes,100,"Entire UNICEF package adapted, 5-day training, plus supervision module",,No,,No,,,,,,,3400,No,No,,Yes,Yes,No,Yes,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Yes - Cash transfers,Yes,No,,,,,Yes,"Yes, monitored, recorded and reported","Yes, monitored, recorded and reported","Yes, monitored, recorded and reported",Both monitored and reported,No,,,,,Yes,Yes
Cook Islands,,,,,EAPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
